City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bukama,CD,-9.2,25.85,69.19,97,99,0.74,light rain
1,Hobart,AU,-42.8794,147.3294,85.26,54,20,1.99,few clouds
2,Port Alfred,ZA,-33.5906,26.891,76.19,79,100,12.44,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,42.46,75,40,10.36,scattered clouds
4,Avarua,CK,-21.2078,-159.775,75.25,94,20,4.61,light rain
5,Bengkulu,ID,-3.8004,102.2655,85.39,64,90,6.91,overcast clouds
6,Lebu,CL,-37.6167,-73.65,55.4,77,0,20.07,clear sky
7,Kaabong,UG,3.4836,34.1492,72.84,43,97,12.37,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,72.48,60,94,3.98,overcast clouds
9,Katsuura,JP,35.1333,140.3,50.14,32,91,8.41,overcast clouds
10,Aguimes,ES,27.9054,-15.4461,57.83,72,0,8.05,clear sky
11,Murdochville,CA,48.9583,-65.5006,7.68,96,56,4.43,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,84,100,20.71,light snow
13,Chumikan,RU,54.7183,135.315,5.99,76,97,18.9,overcast clouds
14,Nongan,CN,44.382,125.1685,23.41,58,2,5.14,clear sky
15,Yellowknife,CA,62.456,-114.3525,-11.58,86,75,10.36,light snow
16,Busselton,AU,-33.65,115.3333,79.09,29,92,17.07,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,77.27,63,100,5.53,overcast clouds
18,Salalah,OM,17.0151,54.0924,73.49,53,0,4.61,clear sky
19,Carnarvon,AU,-24.8667,113.6333,91.47,46,19,23.02,few clouds
20,Qaanaaq,GL,77.484,-69.3632,-6.9,91,100,5.97,overcast clouds
21,Ucluelet,CA,48.9329,-125.5528,43.09,84,49,8.99,scattered clouds
22,Punta Arenas,CL,-53.15,-70.9167,48.31,71,40,23.02,scattered clouds
23,Mosquera,CO,4.7059,-74.2302,51.89,87,75,4.61,broken clouds
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.41,94,95,6.46,light rain
25,Kapaa,US,22.0752,-159.319,71.92,65,20,5.75,few clouds
26,Kodiak,US,57.79,-152.4072,18.91,86,0,8.05,clear sky
27,Teya,RU,60.3778,92.6267,10.51,91,100,3.06,overcast clouds
28,Chapleau,CA,47.8405,-83.4034,-12.96,100,88,1.05,overcast clouds
29,Jamestown,US,42.097,-79.2353,12.72,100,0,4.61,clear sky
30,Meulaboh,ID,4.1363,96.1285,86.43,61,75,5.93,broken clouds
31,Labuhan,ID,-6.8844,112.2051,84.31,75,95,10.25,overcast clouds
32,Hermanus,ZA,-34.4187,19.2345,78.91,76,100,12.8,overcast clouds
33,Thompson,CA,55.7435,-97.8558,-5.64,84,75,4.61,broken clouds
34,Cubuk,TR,40.2386,33.0322,26.35,93,75,1.14,mist
35,Atuona,PF,-9.8,-139.0333,78.12,75,9,15.41,clear sky
36,Tingo Maria,PE,-9.2895,-76.0088,68.61,98,100,0.98,overcast clouds
37,Kautokeino,NO,69.0125,23.0412,-12.59,100,71,2.44,broken clouds
38,College,US,64.8569,-147.8028,-25.65,67,0,3.44,clear sky
39,Khatanga,RU,71.9667,102.5,-6.25,99,98,7.23,overcast clouds
40,Sao Filipe,CV,14.8961,-24.4956,71.58,74,100,8.95,overcast clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,74.25,96,100,6.85,light rain
42,Biak,ID,-0.9131,122.8766,87.48,56,77,9.06,broken clouds
43,Owatonna,US,44.0839,-93.226,13.77,81,0,1.99,clear sky
44,Castro,BR,-24.7911,-50.0119,62.51,99,100,5.46,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,84.9,35,1,3.0,clear sky
