City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobart,AU,85.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
2,Port Alfred,ZA,76.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
4,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
5,Bengkulu,ID,85.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
16,Busselton,AU,79.09,overcast clouds,-33.65,115.3333,Observatory Guest House
17,Rikitea,PF,77.27,overcast clouds,-23.1203,-134.9692,People ThankYou
30,Meulaboh,ID,86.43,broken clouds,4.1363,96.1285,Kost Pria
31,Labuhan,ID,84.31,overcast clouds,-6.8844,112.2051,DoubleFAG
32,Hermanus,ZA,78.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
42,Biak,ID,87.48,broken clouds,-0.9131,122.8766,Penginapan Kim
45,New Norfolk,AU,84.9,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
55,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
58,Mahebourg,MU,87.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Macia,MZ,78.71,broken clouds,-25.0269,33.0989,Hotel Taskin Macia
76,Banda Aceh,ID,85.28,broken clouds,5.5577,95.3222,Sulthan Hotel International
77,Butaritari,KI,82.06,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Sibolga,ID,85.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
87,Sungaipenuh,ID,78.28,overcast clouds,-2.0833,101.3833,penginapan citra alam
88,Cap Malheureux,MU,87.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
91,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
103,Acapulco,MX,75.81,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
107,Caravelas,BR,76.51,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
108,Pochutla,MX,75.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
121,Mananara,MG,81.37,few clouds,-16.1667,49.7667,Chez Roger
122,Richards Bay,ZA,76.98,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
123,Launceston,AU,83.84,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
125,Townsville,AU,86.88,few clouds,-19.25,146.8,Rydges Southbank Townsville
127,Saint-Philippe,RE,85.55,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
131,Vanimo,PG,80.04,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
136,Ugoofaaru,MV,82.56,scattered clouds,5.6667,73.0,Ungoofaaru Inn
140,Kalmunai,LK,82.62,broken clouds,7.4167,81.8167,VS Villa
141,Yarada,IN,77.52,clear sky,17.65,83.2667,Yarada Jungle Beach Resorts
143,Burnie,AU,76.95,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
147,Tautira,PF,82.0,broken clouds,-17.7333,-149.15,Pension Oaoa
149,Merauke,ID,85.05,moderate rain,-8.4667,140.3333,
150,Souillac,MU,87.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Kapit,MY,87.51,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
154,Lorengau,PG,81.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
156,Samarai,PG,83.68,overcast clouds,-10.6167,150.6667,Nuli Sapi
159,Bambous Virieux,MU,87.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
164,Broken Hill,AU,82.11,thunderstorm,-31.95,141.4333,Royal Exchange Hotel
174,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
175,Road Town,VG,75.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
176,Sambava,MG,82.8,broken clouds,-14.2667,50.1667,Melrose
182,Dwarka,IN,75.18,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
192,Kavaratti,IN,81.43,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
194,Moyale,KE,75.76,overcast clouds,3.5167,39.0584,La Tahzan Guest House
197,Vaini,TO,81.28,overcast clouds,-21.2,-175.2,Keleti Beach Resort
205,Labis,MY,89.94,broken clouds,2.385,103.021,Labis Sunrise Farm
214,Port Lincoln,AU,76.06,few clouds,-34.7333,135.8667,Port Lincoln Hotel
216,Fare,PF,81.18,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
217,Ewa Beach,US,75.15,broken clouds,21.3156,-158.0072,Uncle Junior Robert
223,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
228,Perth,AU,89.15,clear sky,-31.9333,115.8333,Beatty Lodge
231,Galesong,ID,82.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
238,Harper,LR,77.23,scattered clouds,4.375,-7.7169,Screensaver
239,Turbat,PK,75.74,clear sky,26.0023,63.044,Mubashar Quarters
243,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
250,Bandarbeyla,SO,78.55,broken clouds,9.4942,50.8122,JABIR HOTEL
253,Porto Nacional,BR,75.2,heavy intensity rain,-10.7081,-48.4172,Vila Real Hotel
254,Colon,PA,76.01,clear sky,9.3592,-79.9014,Sand Diamond Hotel
260,Sabang,ID,81.63,broken clouds,5.8933,95.3214,Hotel Citra
266,Faanui,PF,80.94,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
267,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
269,Sri Aman,MY,87.85,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
270,Saint-Joseph,RE,84.56,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
274,Kawalu,ID,84.74,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
277,Itarema,BR,76.75,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
284,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
285,Lodwar,KE,85.26,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
299,Hithadhoo,MV,82.51,clear sky,-0.6,73.0833,Scoop Guest House
301,Kununurra,AU,78.78,moderate rain,-15.7667,128.7333,Hotel Kununurra
314,Sangamner,IN,79.84,clear sky,19.5667,74.2167,Government Rest House
315,Axim,GH,75.36,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
319,Kieta,PG,84.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
320,Port Moresby,PG,81.82,light rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
325,Bowen,AU,80.82,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
334,Bonoua,CI,76.62,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
335,Manokwari,ID,79.03,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
339,Denpasar,ID,85.71,light rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
343,Port Blair,IN,80.64,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
346,Sola,VU,80.15,overcast clouds,-13.8833,167.55,Leumerus Bungalows
349,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
350,Buenos Aires,AR,75.78,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
354,Male,MV,87.75,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
356,Flinders,AU,88.81,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
361,Honiara,SB,84.0,broken clouds,-9.4333,159.95,Heritage Park Hotel
365,Kirakira,SB,83.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
366,Berbera,SO,75.07,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
367,Byron Bay,AU,85.96,scattered clouds,-28.65,153.6167,Backpackers Inn
371,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
375,Mount Gambier,AU,89.51,clear sky,-37.8333,140.7667,The Commodore
376,Yazman,PK,75.11,clear sky,29.1212,71.7446,Jamal sons showroom
378,San Policarpo,PH,82.94,broken clouds,12.1791,125.5072,Agapita M. Nicart
388,Bubaque,GW,77.07,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
389,Lae,PG,86.67,light rain,-6.7221,146.9847,Phils Hotel
396,Manggar,ID,86.41,overcast clouds,-2.8833,108.2667,Guest Hotel
398,Cartagena,CO,76.62,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
402,Auki,SB,82.0,overcast clouds,-8.7676,160.7034,Auki Motel
403,Casino,AU,89.55,scattered clouds,-28.8667,153.05,Squatters Homestead Motel
404,Saint-Pierre,RE,85.64,broken clouds,-21.3393,55.4781,Lindsey Hôtel
408,Villavicencio,CO,76.8,overcast clouds,4.142,-73.6266,Villavicencio Plaza Hotel
411,Ballina,AU,89.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
415,Hambantota,LK,84.54,light rain,6.1241,81.1185,Bungalow 63
418,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
424,Buala,SB,83.26,light rain,-8.145,159.5921,Maringe Lagoon Lodge
428,The Valley,AI,77.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
432,Gigmoto,PH,78.55,broken clouds,13.7796,124.39,Cj's Travellers Inn
434,Camocim,BR,75.33,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
446,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
452,Poum,NC,80.6,broken clouds,-20.2333,164.0167,Gîte kajeon
464,Sao Jose Da Coroa Grande,BR,77.36,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
467,Pekalongan,ID,85.3,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
469,Tabou,CI,76.93,scattered clouds,4.423,-7.3528,hotêl doufoulougou
472,Marang,MY,85.93,scattered clouds,5.2056,103.2059,DBarakah Homestay
475,Isangel,VU,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
480,Alice Springs,AU,76.55,light intensity shower rain,-23.7,133.8833,Desert Palms Alice Springs
482,Benguela,AO,75.2,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
483,Pringsewu,ID,80.94,overcast clouds,-5.3582,104.9744,Urban Style by Front One
487,Kuching,MY,88.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
489,Kulhudhuffushi,MV,81.54,few clouds,6.6221,73.07,Haajy Guest House 1
491,Sungairaya,ID,87.19,overcast clouds,0.7,108.9,Mess P.Milu
492,Chotila,IN,75.42,clear sky,22.4167,71.1833,Hotel Honest
500,Banjar,ID,85.91,moderate rain,-8.19,114.9675,The Hamsa Resort
503,Tumarbong,PH,85.64,scattered clouds,10.3766,119.4579,
